Latitude (decimal degrees):	53.368
Longitude (decimal degrees):	7.183
Elevation (m):	3
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230505:1911,0.0,0.0,0.0,0.0,12.9,1.24,0.0
20230505:2011,0.0,0.0,0.0,0.0,12.3,1.66,0.0
20230505:2111,0.0,0.0,0.0,0.0,11.57,1.66,0.0
20230505:2211,0.0,0.0,0.0,0.0,10.47,0.69,0.0
20230505:2311,0.0,0.0,0.0,0.0,9.45,1.79,0.0
20230506:0011,0.0,0.0,0.0,0.0,9.05,1.59,0.0
20230506:0111,0.0,0.0,0.0,0.0,8.59,2.41,0.0
20230506:0211,0.0,0.0,0.0,0.0,8.34,2.34,0.0
20230506:0311,0.0,0.0,0.0,0.0,8.13,1.79,0.0
20230506:0411,0.0,2.0,0.0,2.31,7.99,1.59,0.0
20230506:0511,0.0,23.0,0.0,10.75,8.61,1.24,0.0
20230506:0611,2.0,106.0,0.0,19.61,9.67,1.1,0.0
20230506:0711,3.0,168.0,0.0,28.51,10.94,1.59,0.0
20230506:0811,54.0,286.0,0.0,37.03,12.18,1.72,0.0
20230506:0911,98.0,346.0,0.0,44.55,13.7,1.66,0.0
20230506:1011,320.0,323.0,0.0,50.23,15.05,1.52,0.0
20230506:1111,299.0,353.0,0.0,53.03,15.91,2.21,0.0
20230506:1211,372.0,314.0,0.0,52.22,16.85,2.83,0.0
20230506:1311,51.0,354.0,0.0,48.03,17.03,2.83,0.0
20230506:1411,4.0,242.0,0.0,41.42,17.35,2.76,0.0
20230506:1511,0.0,47.0,0.0,33.37,17.23,2.69,0.0
20230506:1611,0.0,51.0,0.0,24.63,17.03,2.9,0.0
20230506:1711,0.0,56.0,0.0,15.69,15.15,3.38,0.0
20230506:1811,0.0,13.0,0.0,6.98,14.21,3.86,0.0
20230506:1911,0.0,0.0,0.0,0.0,13.55,4.21,0.0
20230506:2011,0.0,0.0,0.0,0.0,12.73,4.76,0.0
20230506:2111,0.0,0.0,0.0,0.0,12.48,4.97,0.0
20230506:2211,0.0,0.0,0.0,0.0,11.98,4.34,0.0
20230506:2311,0.0,0.0,0.0,0.0,11.66,4.62,0.0
20230507:0011,0.0,0.0,0.0,0.0,11.47,4.76,0.0
20230507:0111,0.0,0.0,0.0,0.0,11.26,4.69,0.0
20230507:0211,0.0,0.0,0.0,0.0,11.0,4.9,0.0
20230507:0311,0.0,0.0,0.0,0.0,10.7,4.9,0.0
20230507:0411,0.0,1.0,0.0,2.55,10.38,5.1,0.0
20230507:0511,2.0,59.0,0.0,10.98,9.99,5.03,0.0
20230507:0611,0.0,77.0,0.0,19.84,9.67,4.9,0.0
20230507:0711,0.0,121.0,0.0,28.74,9.54,4.9,0.0
20230507:0811,2.0,202.0,0.0,37.26,9.95,5.1,0.0
20230507:0911,38.0,325.0,0.0,44.8,10.49,5.86,0.0
20230507:1011,82.0,378.0,0.0,50.5,10.94,4.83,0.0
20230507:1111,349.0,329.0,0.0,53.31,11.99,4.83,0.0
20230507:1211,336.0,329.0,0.0,52.49,13.12,5.38,0.0
20230507:1311,436.01,244.0,0.0,48.28,14.93,6.14,0.0
20230507:1411,457.0,171.0,0.0,41.65,15.75,5.66,0.0
20230507:1511,398.0,126.0,0.0,33.59,16.38,4.76,0.0
20230507:1611,215.0,136.0,0.0,24.83,16.38,3.86,0.0
20230507:1711,55.0,114.0,0.0,15.9,15.99,3.79,0.0
20230507:1811,17.0,45.0,0.0,7.19,15.36,3.52,0.0
20230507:1911,0.0,0.0,0.0,0.0,14.14,3.59,0.0
20230507:2011,0.0,0.0,0.0,0.0,13.29,3.86,0.0
20230507:2111,0.0,0.0,0.0,0.0,12.41,4.07,0.0
20230507:2211,0.0,0.0,0.0,0.0,11.72,4.0,0.0
20230507:2311,0.0,0.0,0.0,0.0,10.94,4.21,0.0
20230508:0011,0.0,0.0,0.0,0.0,10.43,4.28,0.0
20230508:0111,0.0,0.0,0.0,0.0,9.87,4.28,0.0
20230508:0211,0.0,0.0,0.0,0.0,9.32,4.21,0.0
20230508:0311,0.0,0.0,0.0,0.0,8.86,3.72,0.0
20230508:0411,0.0,7.0,0.0,2.78,8.56,3.59,0.0
20230508:0511,81.0,62.0,0.0,11.21,9.16,3.93,0.0
20230508:0611,214.0,87.0,0.0,20.06,10.55,4.14,0.0
20230508:0711,103.0,221.0,0.0,28.97,11.86,4.07,0.0
20230508:0811,388.0,171.0,0.0,37.5,13.2,4.07,0.0
20230508:0911,570.01,137.0,0.0,45.05,14.84,4.21,0.0
20230508:1011,563.01,190.0,0.0,50.77,15.99,3.52,0.0
20230508:1111,698.01,134.0,0.0,53.58,17.48,3.79,0.0
20230508:1211,669.01,144.0,0.0,52.76,18.87,4.76,0.0
20230508:1311,559.01,173.0,0.0,48.53,19.86,4.14,0.0
20230508:1411,517.01,138.0,0.0,41.87,20.6,4.0,0.0
20230508:1511,288.0,189.0,0.0,33.8,20.75,4.14,0.0
20230508:1611,209.0,140.0,0.0,25.04,20.8,3.66,0.0
20230508:1711,0.0,68.0,0.0,16.11,19.3,2.97,0.0
20230508:1811,1.0,36.0,0.0,7.4,18.34,2.21,0.0
20230508:1911,0.0,0.0,0.0,0.0,16.74,1.79,0.0
20230508:2011,0.0,0.0,0.0,0.0,15.39,1.86,0.0
20230508:2111,0.0,0.0,0.0,0.0,15.59,2.0,0.0
20230508:2211,0.0,0.0,0.0,0.0,14.26,2.0,0.0
20230508:2311,0.0,0.0,0.0,0.0,14.35,2.62,0.0
20230509:0011,0.0,0.0,0.0,0.0,14.22,2.41,0.0
20230509:0111,0.0,0.0,0.0,0.0,13.92,2.55,0.0
20230509:0211,0.0,0.0,0.0,0.0,13.56,2.48,0.0
20230509:0311,0.0,0.0,0.0,0.0,13.23,2.62,0.0
20230509:0411,0.0,3.0,0.0,3.01,13.03,2.9,0.0
20230509:0511,0.0,43.0,0.0,11.43,13.53,3.38,0.0
20230509:0611,1.0,104.0,0.0,20.28,14.0,3.86,0.0
20230509:0711,45.0,222.0,0.0,29.19,14.73,4.41,0.0
20230509:0811,4.0,216.0,0.0,37.73,15.81,4.07,0.0
20230509:0911,0.0,154.0,0.0,45.29,16.52,5.03,0.0
20230509:1011,1.0,250.0,0.0,51.03,17.48,4.14,0.0
20230509:1111,0.0,249.0,0.0,53.85,18.07,3.79,0.0
20230509:1211,28.0,356.0,0.0,53.02,19.11,3.24,0.0
20230509:1311,0.0,192.0,0.0,48.77,18.3,2.97,0.0
20230509:1411,0.0,110.0,0.0,42.09,17.4,3.1,0.0
20230509:1511,0.0,115.0,0.0,34.01,17.03,3.03,0.0
20230509:1611,0.0,75.0,0.0,25.24,16.4,2.48,0.0
20230509:1711,0.0,45.0,0.0,16.31,16.09,1.52,0.0
20230509:1811,0.0,16.0,0.0,7.61,15.66,1.93,0.0
20230509:1911,0.0,0.0,0.0,0.0,15.06,1.86,0.0
20230509:2011,0.0,0.0,0.0,0.0,14.83,1.79,0.0
20230509:2111,0.0,0.0,0.0,0.0,14.7,1.59,0.0
20230509:2211,0.0,0.0,0.0,0.0,14.68,2.21,0.0
20230509:2311,0.0,0.0,0.0,0.0,14.49,1.93,0.0
20230510:0011,0.0,0.0,0.0,0.0,14.19,2.0,0.0
20230510:0111,0.0,0.0,0.0,0.0,13.86,2.28,0.0
20230510:0211,0.0,0.0,0.0,0.0,13.26,2.83,0.0
20230510:0311,0.0,0.0,0.0,0.0,12.91,2.69,0.0
20230510:0411,0.0,3.0,0.0,3.24,12.72,2.41,0.0
20230510:0511,0.0,15.0,0.0,11.65,12.43,3.03,0.0
20230510:0611,0.0,41.0,0.0,20.49,12.5,3.38,0.0
20230510:0711,0.0,111.0,0.0,29.4,12.51,3.66,0.0
20230510:0811,0.0,188.0,0.0,37.95,12.62,3.86,0.0
20230510:0911,0.0,160.0,0.0,45.53,13.27,4.0,0.0
20230510:1011,0.0,199.0,0.0,51.28,13.17,4.34,0.0
20230510:1111,2.0,281.0,0.0,54.11,13.67,4.07,0.0
20230510:1211,0.0,209.0,0.0,53.27,14.03,3.93,0.0
20230510:1311,30.0,339.0,0.0,49.01,14.37,4.48,0.0
20230510:1411,3.0,235.0,0.0,42.31,14.67,4.21,0.0
20230510:1511,92.0,266.0,0.0,34.21,14.67,4.28,0.0
20230510:1611,41.0,193.0,0.0,25.44,14.29,3.93,0.0
20230510:1711,29.0,120.0,0.0,16.51,13.74,3.24,0.0
20230510:1811,0.0,32.0,0.0,7.81,13.08,2.48,0.0
20230510:1911,0.0,0.0,0.0,0.0,12.35,1.93,0.0
20230510:2011,0.0,0.0,0.0,0.0,11.64,1.86,0.0
20230510:2111,0.0,0.0,0.0,0.0,11.31,1.59,0.0
20230510:2211,0.0,0.0,0.0,0.0,10.84,2.28,0.0
20230510:2311,0.0,0.0,0.0,0.0,10.67,1.52,0.0
20230511:0011,0.0,0.0,0.0,0.0,10.24,1.66,0.0
20230511:0111,0.0,0.0,0.0,0.0,10.27,1.93,0.0
20230511:0211,0.0,0.0,0.0,0.0,10.14,1.86,0.0
20230511:0311,0.0,0.0,0.0,0.0,10.07,2.21,0.0
20230511:0411,0.0,2.0,0.0,3.46,9.95,2.41,0.0
20230511:0511,0.0,13.0,0.0,11.86,9.61,2.28,0.0
20230511:0611,0.0,58.0,0.0,20.7,9.67,2.14,0.0
20230511:0711,11.0,198.0,0.0,29.61,9.97,2.34,0.0
20230511:0811,39.0,284.0,0.0,38.17,11.0,2.28,0.0
20230511:0911,28.0,321.0,0.0,45.76,12.08,2.62,0.0
20230511:1011,7.0,305.0,0.0,51.53,13.26,2.83,0.0
20230511:1111,30.0,366.0,0.0,54.37,14.31,2.9,0.0
20230511:1211,37.0,371.0,0.0,53.53,15.24,3.1,0.0
20230511:1311,62.0,365.0,0.0,49.24,15.56,3.45,0.0
20230511:1411,31.0,304.0,0.0,42.53,14.65,3.45,0.0
20230511:1511,60.0,266.0,0.0,34.41,14.07,3.72,0.0
20230511:1611,40.0,195.0,0.0,25.64,13.69,4.07,0.0
20230511:1711,1.0,87.0,0.0,16.71,13.24,3.93,0.0
20230511:1811,0.0,13.0,0.0,8.02,12.46,4.0,0.0
20230511:1911,0.0,0.0,0.0,0.0,11.92,3.93,0.0
20230511:2011,0.0,0.0,0.0,0.0,11.56,4.0,0.0
20230511:2111,0.0,0.0,0.0,0.0,11.4,4.48,0.0
20230511:2211,0.0,0.0,0.0,0.0,11.37,4.07,0.0
20230511:2311,0.0,0.0,0.0,0.0,11.53,3.86,0.0
20230512:0011,0.0,0.0,0.0,0.0,11.45,3.31,0.0
20230512:0111,0.0,0.0,0.0,0.0,11.83,2.69,0.0
20230512:0211,0.0,0.0,0.0,0.0,11.73,2.21,0.0
20230512:0311,0.0,0.0,0.0,0.0,11.77,2.0,0.0
20230512:0411,0.0,3.0,0.0,3.67,11.66,1.93,0.0
20230512:0511,0.0,14.0,0.0,12.06,12.08,2.48,0.0
20230512:0611,0.0,66.0,0.0,20.9,12.7,2.21,0.0
20230512:0711,23.0,215.0,0.0,29.82,13.88,2.34,0.0
20230512:0811,80.0,300.0,0.0,38.38,15.11,2.34,0.0
20230512:0911,165.0,347.0,0.0,45.99,16.86,2.62,0.0
20230512:1011,555.01,208.0,0.0,51.77,18.45,2.76,0.0
20230512:1111,703.01,143.0,0.0,54.63,20.22,3.24,0.0
20230512:1211,693.01,142.0,0.0,53.78,21.2,4.0,0.0
20230512:1311,376.0,290.0,0.0,49.47,21.79,4.41,0.0
20230512:1411,0.0,110.0,0.0,42.74,21.46,4.48,0.0
20230512:1511,122.0,267.0,0.0,34.61,21.36,4.41,0.0
20230512:1611,179.0,166.0,0.0,25.83,20.81,4.41,0.0
20230512:1711,162.0,81.0,0.0,16.9,20.18,4.34,0.0
20230512:1811,42.0,48.0,0.0,8.22,19.03,4.14,0.0
20230512:1911,0.0,0.0,0.0,0.0,17.05,4.0,0.0
20230512:2011,0.0,0.0,0.0,0.0,15.43,3.86,0.0
20230512:2111,0.0,0.0,0.0,0.0,14.24,3.79,0.0
20230512:2211,0.0,0.0,0.0,0.0,12.58,3.52,0.0
20230512:2311,0.0,0.0,0.0,0.0,11.64,3.38,0.0
20230513:0011,0.0,0.0,0.0,0.0,10.9,3.31,0.0
20230513:0111,0.0,0.0,0.0,0.0,10.06,3.03,0.0
20230513:0211,0.0,0.0,0.0,0.0,9.47,2.69,0.0
20230513:0311,0.0,0.0,0.0,0.0,9.37,2.55,0.0
20230513:0411,0.0,9.0,0.0,3.88,9.07,2.55,0.0
20230513:0511,90.0,69.0,0.0,12.26,10.5,3.24,0.0
20230513:0611,229.0,94.0,0.0,21.1,12.35,3.1,0.0
20230513:0711,355.0,120.0,0.0,30.01,14.33,3.17,0.0
20230513:0811,503.0,125.0,0.0,38.58,16.33,3.1,0.0
20230513:0911,607.01,136.0,0.0,46.21,18.4,3.17,0.0
20230513:1011,692.01,136.0,0.0,52.01,19.83,3.66,0.0
20230513:1111,708.01,147.0,0.0,54.87,20.82,4.07,0.0
20230513:1211,668.01,163.0,0.0,54.02,21.39,4.34,0.0
20230513:1311,653.01,138.0,0.0,49.7,21.5,4.34,0.0
20230513:1411,545.01,140.0,0.0,42.95,21.53,4.34,0.0
20230513:1511,438.0,123.0,0.0,34.81,21.41,4.28,0.0
20230513:1611,305.0,105.0,0.0,26.02,21.03,4.07,0.0
20230513:1711,166.0,83.0,0.0,17.09,20.01,4.14,0.0
20230513:1811,45.0,50.0,0.0,8.42,18.56,4.14,0.0
20230513:1911,0.0,0.0,0.0,0.0,16.61,4.14,0.0
20230513:2011,0.0,0.0,0.0,0.0,14.48,3.79,0.0
20230513:2111,0.0,0.0,0.0,0.0,13.42,3.38,0.0
20230513:2211,0.0,0.0,0.0,0.0,12.28,2.48,0.0
20230513:2311,0.0,0.0,0.0,0.0,11.14,2.28,0.0
20230514:0011,0.0,0.0,0.0,0.0,10.42,1.79,0.0
20230514:0111,0.0,0.0,0.0,0.0,9.82,1.38,0.0
20230514:0211,0.0,0.0,0.0,0.0,9.79,1.31,0.0
20230514:0311,0.0,0.0,0.0,0.0,9.18,1.24,0.0
20230514:0411,0.0,16.0,0.0,4.08,9.0,1.31,0.0
20230514:0511,56.0,84.0,0.0,12.46,10.5,1.66,0.0
20230514:0611,83.0,159.0,0.0,21.29,12.19,1.38,0.0
20230514:0711,67.0,237.0,0.0,30.21,13.67,1.38,0.0
20230514:0811,146.0,298.0,0.0,38.78,15.22,1.38,0.0
20230514:0911,465.0,218.0,0.0,46.42,17.16,1.52,0.0
20230514:1011,523.01,234.0,0.0,52.24,19.09,1.24,0.0
20230514:1111,193.0,404.0,0.0,55.12,20.11,0.9,0.0
20230514:1211,219.0,392.0,0.0,54.26,20.5,0.76,0.0
20230514:1311,408.0,279.0,0.0,49.92,20.87,1.1,0.0
20230514:1411,121.0,336.0,0.0,43.15,20.8,1.66,0.0
20230514:1511,78.0,275.0,0.0,35.0,20.51,1.86,0.0
20230514:1611,38.0,200.0,0.0,26.21,20.25,1.66,0.0
20230514:1711,14.0,120.0,0.0,17.28,19.59,1.17,0.0
20230514:1811,0.0,31.0,0.0,8.61,17.95,1.38,0.0
20230514:1911,0.0,0.0,0.0,0.0,15.84,2.0,0.0
20230514:2011,0.0,0.0,0.0,0.0,14.18,2.34,0.0
20230514:2111,0.0,0.0,0.0,0.0,12.86,2.21,0.0
20230514:2211,0.0,0.0,0.0,0.0,12.26,2.0,0.0
20230514:2311,0.0,0.0,0.0,0.0,11.52,1.79,0.0
20230515:0011,0.0,0.0,0.0,0.0,10.73,2.0,0.0
20230515:0111,0.0,0.0,0.0,0.0,10.32,2.83,0.0
20230515:0211,0.0,0.0,0.0,0.0,10.07,3.03,0.0
20230515:0311,0.0,0.0,0.0,0.0,9.72,3.03,0.0
20230515:0411,0.0,4.0,0.0,4.27,9.52,3.1,0.0
20230515:0511,0.0,38.0,0.0,12.64,10.0,3.03,0.0
20230515:0611,2.0,118.0,0.0,21.47,10.88,3.45,0.0
20230515:0711,93.0,237.0,0.0,30.39,12.0,3.72,0.0
20230515:0811,450.0,155.0,0.0,38.98,13.17,3.72,0.0
20230515:0911,529.01,181.0,0.0,46.63,13.56,3.45,0.0
20230515:1011,618.01,177.0,0.0,52.47,14.21,3.38,0.0
20230515:1111,594.01,215.0,0.0,55.36,14.76,4.21,0.0
20230515:1211,397.0,319.0,0.0,54.49,14.74,4.62,0.0
20230515:1311,409.0,279.0,0.0,50.14,14.65,4.83,0.0
20230515:1411,301.0,277.0,0.0,43.35,14.18,5.1,0.0
20230515:1511,41.0,267.0,0.0,35.19,13.42,5.31,0.0
20230515:1611,2.0,144.0,0.0,26.4,12.69,5.52,0.0
20230515:1711,1.0,85.0,0.0,17.47,11.82,5.59,0.0
20230515:1811,0.0,9.0,0.0,8.81,10.85,5.38,0.0
20230515:1911,0.0,0.0,0.0,0.0,10.4,5.03,0.0
20230515:2011,0.0,0.0,0.0,0.0,10.2,4.83,0.0
20230515:2111,0.0,0.0,0.0,0.0,10.13,5.03,0.0
20230515:2211,0.0,0.0,0.0,0.0,10.11,5.52,0.0
20230515:2311,0.0,0.0,0.0,0.0,9.86,5.52,0.0
20230516:0011,0.0,0.0,0.0,0.0,9.4,5.45,0.0
20230516:0111,0.0,0.0,0.0,0.0,8.89,5.24,0.0
20230516:0211,0.0,0.0,0.0,0.0,8.12,5.45,0.0
20230516:0311,0.0,0.0,0.0,0.0,7.62,5.38,0.0
20230516:0411,0.0,4.0,0.0,4.47,7.39,4.69,0.0
20230516:0511,18.0,91.0,0.0,12.83,8.24,4.69,0.0
20230516:0611,179.0,127.0,0.0,21.65,9.49,6.14,0.0
20230516:0711,342.0,135.0,0.0,30.57,10.43,6.21,0.0
20230516:0811,341.0,224.0,0.0,39.17,10.86,6.48,0.0
20230516:0911,18.0,315.0,0.0,46.83,11.53,6.9,0.0
20230516:1011,25.0,356.0,0.0,52.68,11.85,6.28,0.0
20230516:1111,386.0,337.0,0.0,55.59,11.7,7.03,0.0
20230516:1211,115.0,414.0,0.0,54.72,11.69,7.52,0.0
20230516:1311,136.0,386.0,0.0,50.35,11.98,7.31,0.0
20230516:1411,95.0,342.0,0.0,43.55,11.85,7.66,0.0
20230516:1511,254.0,230.0,0.0,35.38,11.51,8.0,0.0
20230516:1611,214.0,161.0,0.0,26.58,11.11,7.24,0.0
20230516:1711,21.0,128.0,0.0,17.65,11.28,6.34,0.0
20230516:1811,7.0,56.0,0.0,8.99,10.96,5.45,0.0
20230516:1911,0.0,0.0,0.0,0.0,10.45,4.62,0.0
20230516:2011,0.0,0.0,0.0,0.0,10.11,4.0,0.0
20230516:2111,0.0,0.0,0.0,0.0,9.69,4.07,0.0
20230516:2211,0.0,0.0,0.0,0.0,9.63,4.07,0.0
20230516:2311,0.0,0.0,0.0,0.0,9.12,4.21,0.0
20230517:0011,0.0,0.0,0.0,0.0,8.78,4.41,0.0
20230517:0111,0.0,0.0,0.0,0.0,8.49,4.28,0.0
20230517:0211,0.0,0.0,0.0,0.0,8.14,4.48,0.0
20230517:0311,0.0,0.0,0.0,0.0,7.42,4.69,0.0
20230517:0411,0.0,9.0,0.0,4.65,6.99,4.83,0.0
20230517:0511,7.0,83.0,0.0,13.0,7.49,4.97,0.0
20230517:0611,72.0,170.0,0.0,21.82,8.31,5.38,0.0
20230517:0711,1.0,166.0,0.0,30.75,8.89,5.38,0.0
20230517:0811,27.0,287.0,0.0,39.35,9.3,5.1,0.0
20230517:0911,160.0,364.0,0.0,47.03,9.8,4.97,0.0
20230517:1011,126.0,406.0,0.0,52.9,10.16,4.55,0.0
20230517:1111,50.0,401.0,0.0,55.81,10.55,4.48,0.0
20230517:1211,261.0,390.0,0.0,54.94,10.71,4.55,0.0
20230517:1311,133.0,392.0,0.0,50.56,10.92,4.55,0.0
20230517:1411,25.0,312.0,0.0,43.75,11.08,4.76,0.0
20230517:1511,19.0,252.0,0.0,35.56,10.82,4.83,0.0
20230517:1611,24.0,199.0,0.0,26.76,10.73,4.62,0.0
20230517:1711,6.0,115.0,0.0,17.83,10.28,4.28,0.0
20230517:1811,6.0,56.0,0.0,9.18,9.76,3.93,0.0
